Tipo,Dormitórios,Banheiros,Garagens,Bairro,Valor
0,Apartamento Padrão,3,1,1, Vila Monteiro,833.75
1,Apartamento Padrão,3,1,1, Centro,5556.25
2,Casa Padrão,3,1,1, Parque dos Timburis,2750.0
3,Apartamento Padrão,2,1,1, Jardim Alvorada,2222.5
4,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,903.75
5,Apartamento Duplex,3,6,1, Vila Monteiro (Gleba I),3320.0
6,Apartamento Padrão,2,1,1, Cidade Jardim,1250.0
7,Apartamento Padrão,2,1,1, Residencial Monsenhor Romeu Tortorelli,1250.0
8,Apartamento Padrão,2,1,1, Jardim Ipanema,1000.0
9,Apartamento Kitnet,1,1,1, Jardim Bethânia,695.0
10,Casa Padrão,2,1,1, Parque Paraíso,1667.5
11,Apartamento Padrão,1,1,1, Cidade Jardim,1320.86
12,Casa Padrão,5,2,1, Centro,13890.0
13,Casa Padrão,4,3,1, Jardim Santa Paula,4028.75
14,Casa Padrão,2,1,1, Vila Conceição,1083.75
15,Casa Padrão,2,1,1, Vila Prado,1111.13
